"root"	"root_in_comps"	"root_has_verb"	"root_group"	"root_sign"	"root_meaning"	"sanskrit_root"	"sanskrit_root_meaning"	"sanskrit_root_class"	"root_example"	"dhatupatha_num"	"dhatupatha_root"	"dhatupatha_pali"	"dhatupatha_english"	"dhatumanjusa_num"	"dhatumanjusa_root"	"dhatumanjusa_pali"	"dhatumanjusa_english"	"dhatumala_root"	"dhatumala_pali"	"dhatumala_english"	"panini_root"	"panini_sanskrit"	"panini_english"	"note"	"matrix_test"
"√pac"	""	"･"	"1"	"a"	"cook, mature, ripen"	"√pac"	"cook"	"1"	"pāka"	"40"	"paca"	"pāke"	"cooking"	"2"	"paca"	"pāke"	"cooking"	"paca"	"pāke"	"cooking"	"ḍu pac aṣ"	"pāke"	"cooking"	""	"√"
"√pañc"	""	"･"	"8"	"e, aya"	"expand, spread"	"√pañc"	"spread"	"1"	"papañca, papañceti"	"542"	"paca"	"vitthāre"	"expanding"	"757"	"paca"	"vitthāre klese"	"expanding and staining"	"paci"	"vitthāre"	"expanding"	"pac i"	"vistāvacane"	"expanding"	""	"√"
"√pañh"	""	"･"	"1"	"a"	"ask, question"	"√prach"	"ask"	"6"	"pañha"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"pañha"	"pucchāyaṃ"	"questioning"	"pra(c)ch a"	"jñīpsāyām"	"enquiring"	""	"√"
"√paṭ 1"	""	"･"	"1"	"a"	"split, tear"	"√paṭ"	"tear"	"1"	"uppāṭeti"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"Not found in classical Pāḷi grammars."	"√"
"√paṭ 2"	""	"×"	"1"	"a"	"go"	"√paṭ"	"go"	"1"	"paṭipāṭi, paṭipāṭiyā"	"85"	"paṭa"	"gamanatthā"	"going"	"103"	"paṭa"	"gamane"	"going"	"paṭa"	"gatiyaṃ"	"going"	"paṭ a"	"gatau"	"going"	""	"√"
"√paṭh"	""	"･"	"1"	"a"	"read, recite"	"√paṭh"	"read"	"1"	"paṭhati"	"99"	"paṭha"	"uccāraṇe"	"uttering"	"126"	"paṭha"	"vyattavace"	"learned speaking"	"paṭha"	"viyattiyaṃ vācāyaṃ"	"articulate speech"	"paṭh a"	"vyaktāyāṃ vāci"	"articulate speech"	""	"√"
"√paṇ"	""	"･"	"1"	"a"	"trade, barter"	"√paṇ"	"bargain"	"1"	"āpaṇa"	"112"	"paṇa"	"vyavahāra-tthutisu"	"trading and pleasing"	"167"	"paṇa"	"vohāra-thomesu"	"trading and praising"	"paṇa"	"byavahāre thutiyañ ca"	"trading, exchanging, doing business and praising"	"paṇ a"	"vyavahāre stutau ca"	"trading and praising"	""	"√"
"√paṇḍ"	""	"･"	"8"	"e, aya"	"mock, tease"	"sphaṇḍ"	"jest, joke"	"10"	"paṇḍeti"	"567"	"paṇḍa"	"paribhāse"	"blaming, abusing"	"797"	"paṇḍa"	"paribhāse"	"blaming, abusing"	"paḍi"	"parihāse"	"laughing"	"sphuḍ i
sphuṭ I"	"parihāse ity api"	"mocking"	""	"√"
"√pat 1"	""	"･"	"1"	"a"	"fall"	"√pat"	"fly, fall"	"1"	"patati, sannipāta, papāta, atipāta"	"123"	"pata"	"gamane"	"going"	"179"	"pata"	"gamane"	"going"	"pata"	"gatiyaṃ"	"going"	"pat ḷ"	"gatau"	"going"	""	"√"
"√pat 2"	""	"×"	"3"	"ya"	"command, control"	"√pat"	"rule"	"4"	"pati"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"Not found in classical Pāḷi grammars."	"√"
"√path 1"	""	"･"	"1"	"a"	"go, move"	"√path √panth"	"go"	"1"	"patha, pathika, vipatha"	"124"	"patha"	"gamane"	"going"	"190"	"patha"	"gate"	"going"	"patha"	"gatiyaṃ"	"going"	"path e"	"gatau"	"going"	""	"√"
"√path 2"	""	"×"	"1"	"a"	"expand"	"√prath √pṛth"	"spread"	"1, 10"	"pathavī"	"478"	"patha"	"vitthāre"	"expanding"	"533"	"patha"	"vitthāre"	"expanding"	"-"	"-"	"-"	"-"	"-"	"-"	"related to √puth"	"√"
"√pad"	""	"･"	"3"	"ya"	"go, step"	"√pad"	"go"	"4"	"uppajjati, patti, pāduka"	"410"	"pada"	"gamane"	"going"	"646"	"pada"	"gate"	"going"	"pada"	"gatiyaṃ"	"going"	"pad a"	"gatau"	"going"	""	"√"
"√panth"	""	"×"	"1"	"a"	"go, move"	"√path √panth"	"go"	"1"	"paripantha, panthaka"	"-"	"-"	"-"	"-"	"191"	"pantha"	"gate"	"going"	"-"	"-"	"-"	"-"	"-"	"-"	"=√path"	"√"
"√pabb"	""	"･"	"1"	"a"	"grow"	"√parv"	"fill"	"1"	""	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"pabba"	"gatiyaṃ"	"going"	"parb a"	"gatau"	"going"	""	"√"
"√par"	""	"×"	"1"	"a"	"be active"	"√pṛ"	"be busy"	"5"	"byāvaṭa"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"Not found in classical Pāḷi grammars."	"√"
"√palā"	""	"･"	"8"	"e, aya"	"run away, flee"	"√palāy"	"flee"	"-"	"paleti, palāyati, palāpetvā"	"257"	"palu"	"gamanatthā"	"going"	"371"	"palū"	"gatyatthā"	"going"	"pala"	"gatiyaṃ"	"going"	"-"	"-"	"-"	"proably parā √i"	"√"
"√palus"	""	"･"	"1"	"a"	"burn"	"pluṣ"	"burn"	"1"	"paluṭṭha, palosati"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"palusu"	"upadāhe"	"burning"	"pluṣ u"	"dāhe"	"burning"	""	"√"
"√pas"	""	"×"	"1"	"a"	"tie, bind"	"√paś"	"bind"	"10"	"pāsa"	"-"	"-"	"-"	"-"	"458"	"pasa"	"bandhane"	"binding"	"pasa 8"	"bandhane"	"binding"	"paś a"	"bandhane"	"tying, binding"	""	"√"
"√pā 2"	""	"･"	"1"	"a"	"protect, guard"	"√pā"	"protect"	"2"	"pa"	"365"	"pā"	"rakkhaṇe"	"protecting, guarding"	"591"	"pā"	"rakkhaṇamhi"	"protecting, guarding"	"pā"	"rakkhaṇe"	"protecting"	"pā"	"rakṣaṇe"	"guarding, watching"	""	"√"
"√pā 1"	""	"･"	"1"	"a"	"drink"	"√pā"	"drink"	"1"	"pivati, pīta, pivana, pānīya, udapāna, pipāsā"	"364"	"pā"	"pāne"	"drinking"	"592"	"pā"	"pāne"	"drinking"	"pā"	"pāne"	"drinking"	"pā"	"pāne"	"drinking"	""	"√"
"√pāy"	""	"･"	"1"	"a"	"increase"	"√pyai √pyāy √pyā"	"fill up"	"1, 4"	"appāyati"	"239"	"pāya"	"vuddhiyaṃ"	"increasing"	"341"	"pāyu"	"vuddhiyaṃ"	"increasing, prospering"	"pāyi"	"vuddhiyaṃ"	"increasing, growing"	"o pyāy ī"	"vṛddhau"	"increasing"	""	"√"
"√pāl"	""	"･"	"8"	"e, aya"	"protect"	"√pāl"	"watch"	"10"	"pāleti, pālayati"	"610"	"pāla"	"rakkhaṇe"	"protecting"	"855"	"pāla"	"rakkhaṇe"	"protecting, guarding"	"pāla"	"rakkhaṇe"	"protecting"	"pāl a"	"rakṣaṇe"	"guarding, watching"	""	"√"
"√piṭ"	""	"×"	"1"	"a"	"collect"	"√piṭ"	"assemble"	"1"	"piṭaka"	"97"	"piṭa"	"saṃghāte"	"accumulating"	"120"	"piṭa"	"saṃghāte"	"accumulating"	"piṭa"	"sadda-<b>saṅghāṭesu</b>"	"making sound and <b>collecting</b>"	"piṭ a"	"śabda-saṃghātayoḥ"	"making sound and collecting"	"artificial root, denominative of <b>piṭaka</b>."	"√"
"√piṇḍ"	""	"･"	"8"	"e, aya"	"collect"	"√piṇḍ"	"roll"	"1, 10"	"piṇḍeti, piṇḍi, piṇḍāya"	"569"	"piṇḍa"	"saṃghāte"	"accumulating"	"801"	"piṇḍa"	"saṃghāte"	"accumulating"	"piḍi"	"saṅghāte"	"accumulating, collecting"	"piḍ i
"	"saṃghāte"	"collecting"	""	"√"
"√pis 1"	""	"･"	"8"	"e, aya"	"send"	"√pis √preṣ"	"go"	"1"	"peseti, pessika"	"621"	"pisa"	"gamane"	"going"	"864"	"pisa"	"pese"	"sending a message"	"pisa"	"pesane"	"sending"	"pis a"	"gatau"	"going"	""	"√"
"√pis 2"	""	"･"	"2"	"ṃa"	"grind, hurt"	"√piṣ"	"hurt"	"7, 10"	"pisuna"	"321"	"piṃsa"	"saṃcuṇṇane"	"crushing, powdering"	"620"	"pisa"	"sañcuṇṇane"	"grinding, crushing"	"pisa"	"cuṇṇane"	"grinding, crushing"	"piṣ ḷ"	"saṃcūrṇane"	"grinding"	""	"√"
"√pis 3"	""	"×"	"8"	"e, aya"	"speak ill"	"√pis"	"hurt"	"7, 10"	"pisuṇa, pisāca"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"pisi"	"bhāsāyaṃ"	"speaking"	"pis i"	"bhāṣārthaḥ"	"speaking"	""	"√"
"√pih"	""	"･"	"8"	"e, aya"	"desire, envy"	"√spṛh"	"be eager"	"6, 10"	"pihayati, piheti, apihālu"	"634"	"piha"	"icchāyaṃ"	"wishing"	"878"	"piha"	"icchāyaṃ"	"wishing and desiring"	"piha"	"icchāyaṃ"	"wishing, desiring"	"spṛha"	"īpsāyām"	"desiring to get"	""	"√"
"√pī"	"ppī"	"･"	"5"	"nā"	"love, please"	"√prī"	"please"	"9"	"pīti, pema, piyāyati"	"-"	"-"	"-"	"-"	"722"	"pī"	"tappane"	"delighting, refreshing"	"pī"	"tappana-kantīsu"	"being pleased and liking"	"prī ñ"	"tarpaṇe kāntau"	"being pleased and pleasing"	""	"√"
"√pīṇ"	""	"･"	"8"	"e, aya"	"please, swell"	"√prī √pī √pyai √pṛṇ √pṝ"	"please"	"9"	"pīṇeti"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"pīṇa"	"pīṇane"	"gladdening, satisfying"	"pṛṇ a"	"prīṇane"	"pleasing"	"it seems two Sanskrit roots have converged into one Pāḷi root."	"√"
"√pīḷ"	""	"･"	"8"	"e, aya"	"press, crush"	"√pīḍ"	"press"	"10"	"pīḷeti, pīḷita"	"636"	"pīḷa"	"bādhāyaṃ"	"oppressing"	"882"	"pīḷa"	"bādhāyaṃ"	"oppressing"	"pīḷa"	"avagāhane"	"inflicting, tormenting"	"pīḍ a"	"avagāhane"	"immersing"	""	"√"
"√pu"	"pu or phu"	"･"	"5"	"nā"	"purify, cleanse"	"√pū"	"cleanse"	"1, 9"	"punāti, puñña, putta, dantapoṇa"	"500"	"pu"	"pavane"	"cleaning, winnowing"	"721"	"pu"	"pavane"	"purifying, cleaning"	"pū"	"pavane"	"cleansing"	"pū ñ"	"pavane"	"cleansing"	""	"√"
"√pucch"	""	"･"	"1"	"a"	"ask, question"	"√prach"	"ask"	"6"	"pucchati, abhipuṭṭha, pucchā"	"49"	"puccha"	"pucchane"	"questioning"	"61"	"puccha"	"sampucchane"	"asking, questioning"	"puccha"	"pañhe"	"questioning"	"prach"	"jñīpsāyāṃ"	"asking for information"	""	"√"
"√puñch"	""	"･"	"1"	"a"	"wipe"	"pra√uñch √proñch"	"wipe out"	"1, 6"	"puñchanaka"	"55"	"puñcha"	"puñchane"	"wiping"	"65"	"puñcha"	"puñchane"	"wiping"	"-"	"-"	"-"	"-"	"-"	"-"	""	"√"
"√puṭ"	""	"×"	"1"	"a"	"wrap, envelop"	"√puṭ"	"clasp"	"6"	"puṭa"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"Not found in classical Pāḷi grammars."	"√"
"√puṭh"	"ppuṭh"	"･"	"8"	"e, aya"	"beat, hurt"	"√sphuṭ"	"burst"	"1, 6"	"poṭheti, poṭhetvā, poṭhita"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"putha"	"pahāre"	"striking, hitting"	"-"	"-"	"-"	""	"√"
"√puṇ"	""	"×"	"1"	"a"	"be skilful, be precise"	"√puṇ"	"act piously"	"6"	"nipuṇa, puñña"	"475"	"puṇa"	"kammani subhe"	"shining deeds"	"527"	"puṇo"	"subhakriye"	"doing well"	"puṇa"	"nipuṇe"	"being clever or skilful"	"puṇ a"	"karmaṇi śubhe"	"being done well"	"artificial root, denominative of <b>puñña</b> or <b>nipuṇa</b> "	"√"
"√puth"	""	"×"	"1"	"a"	"expand"	"√prath √pṛth"	"spread"	"1"	"puthu"	"477"	"putha"	"vitthāre"	"expanding"	"532"	"putha"	"vitthāre"	"expanding"	"puthu"	"vitthāre"	"spreading, expanding"	"pṛth u"	"vistāre"	"expanding"	"artificial root, denominative of <b>puthu</b>.
related to √path"	"√"
"√pupph"	""	"･"	"1"	"a"	"flower, expand"	"√puṣp"	"open, expand, bloom"	"4"	"saṃpupphita, puppa"	"196"	"puppha"	"vikasane"	"expanding, opening"	"282"	"puppha"	"vikasane"	"opening, expanding"	"puppha"	"vikasane"	"expanding, blooming, opening up"	"puṣp a"	"vikasane"	"opening, blooming"	""	"√"
"√pul"	""	"×"	"8"	"e, aya"	"increase"	"√pul"	"be great"	"1, 6, 10"	"vepulla"	"618"	"pula"	"samussaye"	"accumulating"	"862"	"pula"	"mahatte samussaye"	"accumulating greatly"	"pula"	"saṅghāte"	"accumulating, collecting"	"pūl a"	"saṃghāte"	"accumulating"	""	"√"
"√pus"	""	"･"	"1"	"a"	"nourish, take care"	"√puṣ"	"thrive"	"1, 4, 9"	"posati, posa, poseti, posana"	"307"	"pusa"	"posane"	"nourishing, supporting"	"441"	"pusa"	"posamhi"	"nourishing, supporting"	"pusa"	"posane"	"nourishing"	"puṣ a"	"puṣṭau"	"nourishing, feeding"	""	"√"
"√pūj"	""	"･"	"8"	"e, aya"	"honour, venerate"	"√pūj"	"reverence"	"1, 10"	"pūjeti, pūjita, pūja"	"552"	"pūja"	"pūjāyaṃ"	"worshipping"	"773"	"pūja"	"pūjāyaṃ"	"worshipping"	"pūja"	"pūjāyaṃ"	"venerating"	"pūj a"	"pūjāyāṃ"	"honouring"	""	"√"
"√pūy"	""	"×"	"1"	"a"	"rot, fester"	"√pūy"	"stink"	"1"	"pūti"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"pūyi"	"visaraṇe duggandhe"	"spreading a bad smell"	"pūy i"	"viśaraṇe durgandhe ca"	"spreading a bad smell"	""	"√"
"√pūr"	""	"･"	"1"	"a"	"fill, fulfil"	"√pṝ √pṛ"	"fill"	"3, 6, 9"	"pūrati, paripūreti, pūreti, paripūrayati, pūra, paripuṇṇa"	"244"	"pūra"	"pūraṇe"	"filling"	"366"	"pūra"	"pūraṇe"	"filling up"	"pūra"	"pūraṇe"	"filling"	"pṝ"	"pālana-pūraṇayoḥ"	"filling"	""	"√"
"√pel"	""	"×"	"1"	"a"	"move, propel"	"√pel"	"go, move"	"1"	"pellana"	"280"	"pela"	"calane"	"trembling, shaking"	"411"	"pelu"	"sañcalanādisu"	"trembling, etc"	"pelu"	"gatiyaṃ"	"going"	"pel ṛ"	"gatau"	"going"	""	"√"
"√plu 1"	""	"･"	"1"	"a"	"float, swim"	"√plu"	"float"	"1"	"plavati, opilāpeti, plava, plavana"	"-"	"-"	"-"	"-"	"415"	"plavo"	"gate"	"going"	"plu"	"gatiyaṃ"	"going"	"plu ṅ"	"gatau"	"going"	""	"√"
"√plu 2"	""	"･"	"1"	"a"	"spring, swing"	"√pru"	"spring"	"1"	"plavati"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"pu"	"gatiyaṃ"	"going"	"pru ṅ"	"gatau"	"going"	""	"√"
"√phaṇ"	""	"×"	"1"	"a"	"skim"	"√phaṇ"	"spring"	"1"	"pheṇu, phāṇita"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"Not found in classical Pāḷi grammars."	"√"
"√phand"	"phand or pphand"	"･"	"1"	"a"	"shake, quiver"	"√spand"	"quiver"	"1"	"phandati, vipphandana"	"139"	"phanda"	"kiñcicalane"	"something shaking"	"197"	"phadī"	"kiñcicalane"	"shaking something"	"-"	"-"	"-"	"-"	"-"	"-"	""	"√"
"√phar"	"pphar"	"･"	"1"	"a"	"suffuse, pervade"	"√sphar √sphṛ"	"expand"	"6"	"pharati, pharaṇa, paripphuṭa"	"-"	"-"	"-"	"-"	"347"	"phara"	"sampharaṇe"	"pervading, suffusing"	"phara"	"pharaṇe"	"pervading, suffusing"	"sphur a"	"saṃcalane, sphuraṇe"	"moving about, trembling"	""	"√"
"√phal 1"	"pphal"	"･"	"1"	"a"	"split open"	"√phal √sphaṭ"	"burst"	"1"	"phalati, phāleti, phāla, vipphālita, phulla"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"phala"	"bhede"	"breaking, dividing"	"ñi phal ā"	"viśaraṇe"	"tearing apart"	""	"√"
"√phal 2"	"phal or pphal"	"･"	"1"	"a"	"fruit, ripen"	"√phal"	"fruit"	"1"	"phalī, phalaka"	"266"	"phala"	"nipphattiyaṃ"	"resulting, effecting"	"378"	"phala"	"nipphattiyaṃ"	"resulting, producing"	"phala"	"nibbattiyaṃ"	"producing"	"phal a"	"niṣpattau"	"producing, generating"	""	"√"
"√phā"	""	"×"	"1"	"a"	"swell, get fat"	"√sphāy √sphā"	"fatten"	"1"	"phīta"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"phāyi"	"vuddhiyaṃ"	"increasing, growing"	"sphāy ī"	"vṛddhau"	"increasing"	""	"√"
"√phuṭ 1"	"pphuṭ"	"･"	"8"	"e, aya"	"beat, smash"	"√sphuṭ"	"burst"	"1, 6"	"nipphoṭeti"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"phuṭa"	"vibhede"	"dividing"	"sphuṭ a"	"bhedane"	"breaking"	""	"√"
"√phuṭ 2"	"pphuṭ"	"･"	"1"	"a"	"swell, burst"	"√sphuṭ"	"burst"	"1, 6"	"phoṭa"	"-"	"-"	"-"	"-"	"110"	"phuṭo"	"vikasan’ādīsu"	"expanding etc"	"phuṭa"	"visaraṇe"	"spreading, bursting, splitting"	"sphuṭ a"	"vikasane"	"expanding"	""	"√"
"√phull"	""	"･"	"1"	"a"	"expand, bloom"	"√phull"	"expand"	"1"	"phulla"	"265"	"phulla"	"vikasane"	"expanding, opening"	"376"	"phulla"	"vikāse"	"expanding, opening"	"phulla"	"vikasana-bhedesu"	"blooming, and breaking,"	"phull a"	"vikasane"	"expanding, blooming, blossoming"	""	"√"
"√phus 1"	""	"･"	"1"	"a"	"touch"	"√spṛś"	"touch"	"6"	"phusitvā, phuṭṭha"	"494"	"phusa"	"samphasse"	"touching, contacting"	"573"	"phusa"	"phasse"	"touching"	"phusa"	"samphasse"	"touching"	"spṛś a"	"saṃsparśane"	"touching, contacting, mixing"	""	"√"
"√phus 2"	"pphus"	"･"	"1"	"a"	"sprinkle, splash"	"√pruṣ √pluṣ"	"sprinkle"	"4, 5, 9"	"paripphosakaṃ, phoseti"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"pusa 5"	"sineha-savana-pūraṇesu"	"watering, sticking, hearing, filling"	"pruṣ a
pluṣ a"	"snehana-sevana-pūraṇesu"	"oiling, indulging and filling"	""	"√"
"√badh"	""	"･"	"1"	"a"	"bind, tie"	"√bandh"	"bind"	"9"	"vinibaddha, paṭibaddha"	"172"	"vadha"	"bandhane"	"binding, tying"	"247"	"badha"	"bandhane"	"binding"	"badha"	"bandhane"	"binding"	"badh a"	"bandhane"	"binding, tying"	"related to √bandh"	"√"
"√bandh"	""	"･"	"1"	"a"	"bind, tie"	"√bandh"	"bind"	"9"	"bandhati, sambandha, bandhu"	"-"	"-"	"-"	"-"	"248"	"bandha"	"bandhane"	"binding"	"bandha"	"bandhane"	"binding"	"badh a"	"bandhane"	"tying, binding"	"related to √badh"	"√"
"√bal"	""	"･"	"1"	"a"	"be strong, live"	"√bal"	"be strong"	"2"	"balati, bala"	"-"	"-"	"-"	"-"	"389"	"bala"	"pāṇane"	"living, breathing"	"bala"	"pāṇane"	"breathing, living"	"bal a
val a"	"prāṇane-dhāny-āvarodhane ca
or -dhānyāvarodhe ca"	"breathing and hindering wealth (?)"	""	"√"
"√bah 1"	""	"･"	"1"	"a"	"be outside"	"bahis"	"out"	"-"	"paṭibāhati, bāhira"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"Not found in classical Pāḷi grammars. Denomitave root from <i>bahi</i>"	"√"
"√bah 2"	""	"×"	"1"	"a"	"increase"	"√bṛh √baṃh"	"make big or strong"	"6"	"bahu, bāhulika, bāḷha"	"344"	"baha"	"vuddhiyaṃ"	"increasing"	"506"	"baha"	"vuddhiyaṃ"	"increasing, prospering"	"bahi"	"vuddhiyaṃ"	"increasing"	"bṛh a
bṛh i"	"vṛddhau"	"increasing"	"√bṛh also means pull up, uproot"	"√"
"√bādh"	""	"･"	"1"	"a"	"press, oppress"	"√bādh"	"oppress"	"1"	"bādhati, ābādheti, ābādhika, bavhābādha"	"168a"	"bādha"	"vibādhāyaṃ"	"oppressing"	"236"	"bādha"	"bādhāyaṃ"	"oppressing"	"bādha"	"viloḷane"	"stirring"	"bādh ṛ"	"viloḍane"	"stirring, agitating, alarming"	""	"√"
"√bil"	""	"･"	"1"	"a"	"break, chop"	"√bil"	"split"	"6, 10"	"bilati, bila"	"489"	"bila"	"bhedane"	"breaking"	"568"	"bila"	"bhede"	"breaking"	"-"	"-"	"-"	"-"	"-"	"-"	""	"√"
"√budh"	""	"･"	"3"	"ya"	"know, wake up"	"√budh"	"know, wake"	"4, 1"	"bujjhati, buddha, sambodhi"	"414"	"budha"	"avagamane"	"understanding"	"652"	"budha"	"<b>avagaman</b>-ādīsu"	"<b>knowing</b> and other meanings"	"budha"	"avagamane"	"understanding"	"budh a"	"avagamane"	"understanding"	""	"√"
"√buh"	""	"･"	"1"	"a"	"pluck out, uproot"	"√bṛh √vṛh"	"tear, pluck"	"6"	"abbuhati, abbuyha, abbūḷha"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"Not found in classical Pāḷi grammars."	"√"
"√brah"	""	"×"	"1"	"a"	"increase"	"√bṛh √bṛṃh"	"make big or strong"	"1, 6"	"brahati, brahā, brahanta, brahma"	"345"	"braha"	"vuddhiyaṃ"	"increasing"	"507"	"braha"	"vuddhiyaṃ"	"increasing, prospering"	"braha"	"uggame"	"increasing"	"vṛh ū
bṛh ū"	"udyamane
ity anye"	"raising"	""	"√"
"√brū"	""	"･"	"1"	"a"	"say"	"√brū"	"say"	"2, 6"	"brūti, abravi, bravanta"	"366"	"brū"	"vacane"	"speaking"	"593"	"brū"	"vācāyaṃ viyattiyaṃ"	"articulate speech"	"brū"	"viyattiyaṃ vācāyaṃ"	"articulate speech"	"brū ñ"	"vyaktāyām vāci"	"speaking clearly"	""	"√"
"√brūh"	""	"･"	"1"	"a"	"increase"	"√bṛh √bṛṃh √vṛṃh"	"make big or strong"	"1, 6"	"brūheti, brūhana, brūhetu"	"346"	"brūha"	"vuddhiyaṃ"	"increasing"	"505"	"brūha"	"vuddhiyaṃ"	"increasing"	"brūha"	"vaḍḍhane"	"growing, increasing"	"bṛh a"	"vṛddhau"	"increasing"	""	"√"
"√bhakkh"	""	"･"	"1"	"a"	"eat"	"√bhakṣ"	"partake of, eat"	"1"	"bhakkhati, bhakkha, bhatta"	"17"	"bhakkha"	"adane"	"eating"	"25"	"bhakkha"	"adanamhi"	"eating"	"bhakkha"	"adane"	"eating"	"bhakṣ a"	"adane"	"eating"	""	"√"
"√bhaj 1"	""	"･"	"1"	"a"	"divide, distribute"	"√bhaj"	"divide, share"	"1"	"vibhajati, suvibhatta"	"-"	"-"	"-"	"-"	"523"	"bhaja"	"sevā-<b>puthakkāre</b>"	"serving and <b>seperating</b>"	"-"	"-"	"-"	"-"	"-"	"-"	""	"√"
"√bhaj 2"	""	"･"	"1"	"a"	"associate, keep company"	"√bhaj"	"divide, share"	"1"	"bhajati, bhajanā"	"61"	"bhaja"	"sevāyaṃ"	"associating"	"76"	"bhaja"	"saṃsevane"	"associating"	"bhaja"	"sevāyaṃ"	"associating, serving"	"bhaj a"	"sevāyām"	"associating"	""	"√"
"√bhajj"	""	"･"	"1"	"a"	"cook"	"√bhṛjj bhrajj"	"roast"	"6"	"bhajjati"	"79"	"bhajja"	"pāke"	"cooking"	"94"	"bhajja"	"pāke"	"cooking"	"bhaji"	"bhajjane"	"cooking"	"bhrasj a"	"pāke"	"cooking"	""	"√"
"√bhañj"	""	"･"	"1"	"a"	"break, destroy"	"√bhañj"	"break"	"7"	"bhañjati, bhaṅga"	"68"	"bhañja"	"omaddane"	"breaking up"	"73"	"bhañja"	"avamaddane"	"breaking up, destroying"	"-"	"-"	"-"	"-"	"-"	"-"	""	"√"
"√bhaṇ"	""	"･"	"1"	"a"	"talk, speak"	"√bhaṇ"	"speak"	"1"	"bhaṇati, bhaññamāna, paṭibhāṇavantu"	"111"	"bhaṇa"	"bhaṇane"	"speaking"	"162"	"bhaṇa"	"bhāsane"	"speaking, saying"	"bhaṇa"	"bhaṇane"	"telling, expounding"	"bhaṇ a"	"śabdārthaḥ"	"making sound"	""	"√"
"√bhaṇḍ"	""	"･"	"1"	"a"	"blame, accuse"	"√bhaṇḍ"	"reprove"	"1"	"bhaṇḍati"	"-"	"-"	"-"	"-"	"143"	"bhaḍi"	"bhaṇḍane"	"quarrelling, arguing"	"bhaḍi"	"paribhāsane"	"abusing, blaming, censuring"	"bhaḍ i"	"paribhāṣaṇe"	"admonishing, reprimanding"	""	"√"
"√bhad"	""	"×"	"1"	"a"	"be good, be lucky"	"√bhand"	"be bright"	"1"	"bhadra, bhante, bhadanta"	"143"	"bhadda"	"kalyāṇe"	"being good"	"206"	"bhadi"	"kalyāṇakammani"	"doing good"	"bhadi"	"kallāṇe sokkhiye ca"	"goodness and happiness"	"bhad i"	"kalyaṇe sukhe ca"	"being good and comfortable"	"artificial root, denominative of <b>bhadra</b>"	"√"
"√bham"	"bbham"	"･"	"1"	"a"	"turn, revolve, buzz"	"√bhram"	"wander"	"1, 4"	"bhamara, bhamakāra, vibhanta"	"219"	"bhama"	"anavaṭṭhāne"	"not standing still"	"314"	"bhamu"	"anavaṭṭhāne"	"not standing still"	"-"	"-"	"-"	"-"	"-"	"-"	""	"√"
"√bhar"	""	"･"	"1"	"a"	"carry, support"	"√bhṛ"	"bear"	"1"	"bharati, bhariyā, subhara, bhattā, bhati"	"-"	"-"	"-"	"-"	"346"	"bhara"	"bharaṇasmiṃ"	"bearing, wearing"	"bhara"	"posane"	"supporting, nourishing"	"bhṛ ñ
ḍu bhṛ ñ"	"bharaṇe 
dhāraṇa-poṣaṇayoḥ"	"supporting
bearing and nourishing"	""	"√"
"√bhas 1"	""	"･"	"3"	"ya"	"fall down"	"√bhraś √bhraṅś"	"fall"	"1, 4"	"bhassati, bhaṭṭha"	"455"	"bhasa"	"adhopatane"	"falling down"	"695"	"bhasa"	"adhopāte"	"falling down"	"bhaṃsu"	"avasaṃsane"	"hanging down, falling down"	"bhraṃs u"	"avasraṃsane"	"falling down"	""	"√"
"√bhas 2"	""	"×"	"1"	"a"	"make ashes"	"bhas"	"ashes"	"-"	"bhasma"	"326"	"bhasa"	"bhasmīkaraṇe"	"making ashes"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	""	"√"
