id	lemma_1	meaning_1	meaning_1_corrected
65915	vaṇṇadāyī	giving beauty; offering good appearance	giving beauty; offering a good appearance
66029	vattāro	those who says; those who speak; those who comment	those who say; those who speak; those who comment
66037	vattitvā	having existed; having happened; having taken place; having occured	having existed; having happened; having taken place; having occurred
66171	vadhitvā 1	having killed; having slaughtered; having slayed	having slain
66252	vandayata	respected; revered; honoured	having paid respect (to someone at the feet)
66257	vandāpesi	made pay respect	made a payment of respect
66425	valittacatā	being wrinkled; wrinklyness	being wrinkled; wrinkledness
66562	vassavatī	name of Vessabhū Buddha's mother	name of Vessabhu Buddha's mother
66566	vassaṃvuṭṭha	who had spent the rains retreat; who had completed the rains (in)	who had spent the rains retreat; who had completed the rains retreat
66567	vassaṃvuttha	who had spent the rains retreat; who had completed the rains (in)	who had spent the rains retreat; who had completed the rains retreat
66616	vavassaggārammaṇa	basis of letting go; relinquishment the object	basis of letting go; relinquishment, the object
66638	vaḷañjanaka	(of wealth) useable; disposable; liquid	(of wealth) usable; disposable; liquid
66767	vāti 2.1	or'	or
66801	vādānupāta	verbal criticizm; attack on a doctrine; response to a theory	verbal criticism; attack on a doctrine; response to a theory
66802	vādānuvāda	response to an assertion; accusation against a statement; criticizm	response to an assertion; accusation against a statement; criticism
66835	vāpī	reservoir; dam; artifical lake; pond	reservoir; dam; artificial lake; pond
66874	vāyāpana	making weave; causing to weave	making a weave; causing to weave
66877	vāyāpeti	makes weave; causes to weave	makes a weave; causes to weave
66880	vāyāpetvā	having made weave; having caused to weave	having made a weave; having caused to weave
66881	vāyāpesi	made weave; caused to weave	made a weave; caused to weave
66884	vāyāmasahagata	together with a effort; accompanied by exertion	together with effort; accompanied by exertion
67053	vāhametaṃ	or I this	or I
67114	vikappanattha	(vinaya) sake of assignment of ownership; purpose transfer of ownership; for sharing ownership	(vinaya) sake of assignment of ownership; purpose of transfer of ownership; for sharing ownership
67117	vikappanupaga	(vinaya) fit for assignment of ownership; suitable to transfer ownership; suitable for sharing ownership	(vinaya) fit for assignment of ownership; suitable for transfer of ownership; suitable for sharing ownership
67582	vijānāpetabba	should makes one's presence known	should make one's presence known
67765	viññātar	knower; who is conscious; consious agent	knower; who is conscious; conscious agent
67772	viññāpana 2	expressive; instructive (of); informative; enlightning	expressive; instructive (of); informative; enlightening
67801	viññū 2	wise person; sage; knowledgable man; intelligent person	wise person; sage; knowledgeable man; intelligent person
68030	vidhā 1	distinction; discrimination; categorization; conceit	distinction; discrimination; categorisation; conceit
68037	vidhāsamatikkanta	overcome distinctions; surpassed (self) categorization	overcome distinctions; surpassed (self) categorisation
68073	vidheyya	obedient; managable; compliant; tractable	obedient; manageable; compliant; tractable
68206	vinimocayanta	freeing (oneself) (from); geting rid (of); releasing oneself (from); unburdening oneself (of)	freeing (oneself) (from); getting rid (of); releasing oneself (from); unburdening oneself (of)
68224	vinivijjhitvā	having pierced though (each other); having crossed	having pierced through (each other); having crossed
68438	vipula 2	name of a mountain near to Rājagaha	name of a mountain near Rājagaha
68829	virajjhati 2	(of an shot) misses	(of a shot) misses
68910	virādhayitvā	having failed; having not succeed (in)	having failed; having not succeeded (in)
69049	vilugga	hung at a wrong angle; hung skew; broken down	hung at a wrong angle; hung askew; broken down
69090	viloma	wrong; disagreeable; which rub one up the wrong way; which are against the grain	wrong; disagreeable; which rubs one up the wrong way; which are against the grain
69289	visujjhati	is purified; is cleansed; becomes pure	becoming pure; cleansing; making pure
69435	vissaṭṭhupasevī	?? associating with factions	associating with factions
69892	vīmaṃsāpeti	having made investigate; having caused to examine; having made test	having investigated; having caused to examine; having tested
69893	vīmaṃsāpetvā	having made investigate; having caused to examine; having made test	having investigated; having caused to examine; having tested
70065	vuttamicchācāralakkhaṇavasena	?? due to characteristics of wrong behaviour described (in)	due to characteristics of wrong behaviour described (in)
70102	vuddhivepullappatta	grown and expanded; devloped and matured	grown and expanded; developed and matured
70194	veṭhetvā	having wrapped; having enveloped (somthing with something)	(having wrapped; having enveloped (something with something))
70288	vedanāhetu	due to the pain (of)	due to the pain
70294	vedanūpanisa	with feeing as pre-condition	with feeling as pre-condition
70345	vedhanahetu	due to the piercing; due to the puncturing (of)	due to the piercing; due to the puncturing
70359	venayika 6	discipliner; expert in Vinaya	disciplinarian; expert in Vinaya
70379	vepullatta	abundance; full development; maturity; vastness; massiveness extensiveness	abundance; full development; maturity; vastness; massiveness, extensiveness
70403	veyagghapañcama	with tiger as the fifth; (comm) with the path of tiger	with tiger as the fifth; (comm) with the path of the tiger
70470	velāsikā	?? concubine; dancing girl; party girl	concubine; dancing girl; party girl
70502	vessabhū 2	name of one the seven Bharata kings	name of one of the seven Bharata kings
70578	vokkamanta	stepping aside; moving out the way (of)	stepping aside; moving out of the way (of)
70627	vosagga	complete relinquishment; release; letting go; giving up	letting go is the object; complete relinquishment is the object
70717	vyākaraṇīya	should be answered; should be replied (to)	should be answered; should be replied to
71143	hānabhāgiyadhamma	matter which is conducive to decline	a matter which is conducive to decline
71174	hāraṇaka	who makes steal; who causes to remove	who causes theft; who causes to remove
71175	hārayati	causes to take; makes steal	causes to take; makes theft
71211	hāvuso	truly friend; indeed brothers	truly a friend; indeed brothers
71419	heṭṭhūpapattika	who get reborn in a lower realm; who reappear lower	who are reborn in a lower realm; who reappear lower
71443	hetubhaṅga	breaking up of the cause; dissolution of the condition; disintegration the pre-condition	breaking up of the cause; dissolution of the condition; disintegration of the pre-condition
71450	hetuvāda	who is a proponent of the doctrine of causality; beliving in the theory that everything has a reason	who is a proponent of the doctrine of causality; believing in the theory that everything has a reason
71510	rohaṇeyya	descendent of Rohaṇa	descendant of Rohaṇa
71511	issāsaṃyojana	bond of jeaousy; fetter of envy	bond of jealousy; fetter of envy
71528	voyoga	engagement; involvment (in)	engagement; involvement (in)
71573	catubbīsati	twenty four (24)	twenty-four (24)
71597	aticarituṃ	to transgress sexually; to commit adultery; to be unfaithful (to somebody by)	to transgress sexually; to commit adultery; to be unfaithful (to somebody)
71651	parinibbi	(of an arahant) died one's last death; attained final emancipation	(of an arahant) dies one's final death; attains final emancipation
71655	caturāsītiyojanasahassa	eighty four thousand yojanas; approximately one million six hundred and eighty thousand kilometres	eighty-four thousand yojanas; approximately one million six hundred and eighty thousand kilometres
71677	piṇḍadāyaka 1	mess cook; miltary chef; (comm) (or) assault troop; shock troop	mess cook; military chef; (comm) (or) assault troop; shock troop
71697	pannapalāsa	which has shed it's leaves; with fallen foliage	which has shed its leaves; with fallen foliage
71738	ajitamāṇavapucchāniddesa	commentary on the young Brahman Ajita's question; anylysis of Sutta Nipāta 5.2 found in the Cūḷaniddesa	commentary on the young Brahman Ajita's question; analysis of Sutta Nipāta 5.2 found in the Cūḷaniddesa
71757	akālaññū	not knowing the right time; not know the correct moment (to speak)	not knowing the right time; not knowing the correct moment (to speak)
71799	sambandhitabba	should be connected; should joined together (with)	should be connected; should be joined together (with)
71809	yajitvāna 1	having offered a sacrifice; have made a sacrificial offering	having offered a sacrifice; has made a sacrificial offering
71811	niraṃkatvā	having rejected; having spurned; having gots rid (of)	having rejected; having spurned; having got rid (of)
71837	gantabba 5	(of a conclusion) should be reached; should be come to; should be arrived at	(of a conclusion) should be reached; should be attained; should be arrived at
71865	asajjhāyamala	having not reciting as the stain; tarnished by non-recitation	having not recited as a stain; tarnished by non-recitation
71866	anuṭṭhānamala	having lack of initiative as stain; tarnished by inaction	having a lack of initiative as a stain; tarnished by inaction
71898	pāsāṇasakkharika	stoney and gravely; full of rocks and pebbles	stony and gravelly; full of rocks and pebbles
71910	apāsāṇasakkharika	not stoney and gravely; not full of rocks and pebbles	not stony and gravelly; not full of rocks and pebbles
71968	sīsanahāta	who has washed their head; with bathed head; (comm) fully bathed up to the head	who has washed their head; with head bathed; (comm) fully bathed up to the head
71986	nāccogāḷhaṃ	not too much; not too extravagantly	not too much; not too extravagant
72051	sāvajjakāyakammantavacīkammantamanokammanta	who has performed blameworthy actions by body speech and mind	who has performed blameworthy actions by body, speech and mind
72124	passaddhisampanna	who has successfully achieved tranqulization	who has failed to gain tranquillisation
72126	paṭhavisaññī	recognizing earth; percipient of earth (in)	recognising earth; percipient of earth (in)
72127	paṭhavīsaññī	recognizing earth; percipient of earth (in)	recognising earth; percipient of earth (in)
72129	nāccāsanna	not to close; not too nearby	not too close; not too nearby
72139	ariyāvāsa	noble abiding; dwelling of a awakened one	noble abiding; dwelling of an awakened one
72176	paṇḍakakathā	discussion about (whether or not a person is) homesexual	discussion about (whether or not a person is) homosexual
72190	āveni	autonomously; individualy; separately	autonomously; individually; separately
72194	padhaṃsati	falls (from); falls away (from); is deprived (of)' loses out (on)	falls (from); falls away (from); is deprived of; loses out (on)
72202	sāvasesāpatti	offence with rehabilitation; remediable transgression; i.e. all offences except defeat	rehabilitative offence; remediable transgression
72241	purisapuggalaparopariya	regarding the superior or inferior state of the faculties (of); concerning the good of bad mental condition	regarding the superior or inferior state of the faculties (of); concerning the good or bad mental condition
72289	tiṇḍukamatta	size of a gaub fruit	size of a guava fruit
72266	icchāpariyuṭṭhāna	being obsessed by longing; being consumed by desire	proud; conceited; egotistical
72334	micchāsatipaccayā	dependent on wrong mindfulness; due to incorrect present moment awareness	dependent on wrong mindfulness; due to incorrect present-moment awareness
72335	sammāsatipaccayā	dependent on right mindfulness; due to correct present moment awareness	dependent on correct mindfulness; due to correct present-moment awareness
72391	kāyakammantasampatti	successfully accomplishment of physical action	successful accomplishment of physical action
73332	amata 1.3	ambrosia; drink of immortality; devine nectar	ambrosia; drink of immortality; divine nectar
73741	aladdhamokkha	who has not attained liberation (in)	who has not attained liberation
73873	aṭṭhita 2.1	steadfast; resolved; committed (in)	steadfast; resolved; committed
73925	saratā	fact of having a voice; fact of having a tone	fact of having a voice like a god
73950	kālagata	died; dead	precept to abstain (from); training rule to abstain
73951	veramaṇisikkhāpada	precept to abstain (from); training rule to not	precept to abstain (from); training rule to abstain
73957	suchanna	well-thatched; properly roofed	fast horse; swift steed
74061	huṃhuṅkajātika	humphy; huffy; disgruntled; disapproving	humph; huffy; disgruntled; disapproving
74064	nihuṃhuṅka	not humphy; not huffy; not disgruntled; not disapproving	not humph; not huffy; not disgruntled; not disapproving
74073	pesakāravisikhā	street of embroiders	street of embroiderers
74138	sadisāsadisa	alike and dislike; similar and dissimilar	alike and unlike; similar and dissimilar
74187	āneñjasamādhi	imperturbable stability of mind; perfectlty stable mental stillness	imperturbable stability of mind; perfectly stable mental stillness
74192	anekarasabyañjana	consisting of many tasty curries; (or) curries with many difference flavours	consisting of many tasty curries; (or) curries with many different flavours
74256	pabhaṅgutā	fact of being brittle; breakablity; fragility; perishableness	fact of being brittle; breakability; fragility; perishableness
74290	paraṃkārūpasaṃhita	concerned with another's deads; (comm) connected with the creation of an almighty god	concerned with another's deeds; (comm) connected with the creation of an almighty god
74294	mānavinibandha	bound by pride; held captive by conceit; bound by comparing	bound by pride; held captive by conceit; bound by comparison
74364	mānasaṅkhaya	destruction of conceit; eradication of comparing	destruction of conceit; eradication of comparison
74385	mānajaha	abandoning conceit; leaving comparing behind	abandoning conceit; leaving comparison behind
74409	akkheyyasampanna	accomplished in what can be expressed; skilled in the expressable	accomplished in what can be expressed; skilled in the expressible
74431	saṃvibhājeti	makes divide; causes to distribute; makes share	divides; causes to distribute; shares
74452	dujjayamajjhabhū	conconquered the impossible; beat the odds	conquers the impossible; beats the odds
74491	dukkhamaccagā	surpassed suffering; transcended stress; sumounted discomfort	surpassed suffering; transcended stress; surmounted discomfort
74502	sabbapahāyī	who has who has given up everything; who has abandoned all	who has given up everything; who has abandoned all
74521	nappakāsati 2	is not evident; does not manifest; does not appear (becuase of)	is not evident; does not manifest; does not appear (because of)
74557	andhakamakasā	gadflies and mosquitos	gadflies and mosquitoes
74603	luddha 3	greedy person; who wants	greedy person; one who wants
74641	santikā 2.1	(a game variously called) jackstraws; spillikins; spellicans; pick-up-sticks	(a game variously called) jackstraws; spillikins; spilikins; pick-up-sticks
74653	dvayadhamma	pair of phenomena; two side of the same coin; duality	pair of phenomena; two sides of the same coin; duality
74734	yathodhika	to whatver degree; to whatever extent	to whatever degree; to whatever extent
74755	anavasīdana	not getting disheartned; not becoming discouraged	not getting discouraged; not becoming discouraged
74807	ajjhattacintī	relfecting internally; pondering one's inner being; (comm) considering the continuity of aggregates with insght into the three characteristics	reflecting internally; pondering one's inner being; (comm) considering the continuity of aggregates with insight into the three characteristics
74858	dantaluyyaka	type of ascetic who subsists on bark town from trees by their teeth	type of ascetic who subsists on bark torn from trees by their teeth
74883	uṇṇametave	to become arrogant (about); to prides oneself (on)	to become arrogant (about); to pride oneself (on)
74890	abhimukhībhūtatta	fact of occuring; fact of being present	fact of occurring; fact of being present
74902	pahīnānunayatta	fact of removed the inclination; fact of having eliminated affection	fact of removing the inclination; fact of having eliminated affection
74918	gavi	type of vine; Ampelocissus latifolia; formerly Vitis latfolia	type of vine; Ampelocissus latifolia; formerly Vitis latifolia
75114	nidhimapālayi	guarded the (devine) treasure; (comm) devloped the devine abodes in meditation	(vinaya) guarded the (divine) treasure; (comm) developed the divine abodes in meditation
75215	bhāṇayati	causes to speak; makes say; causes to tell	basis for doubt; cause for uncertainty
75216	pāyayati	makes drink	causes to speak; makes (someone) say; causes to tell
75254	acāvayi	caused to fall; made move; made retreat (from)	caused to fall; made a move; made a retreat (from)
75296	makkhaligosāla	name of a ascetic teacher; Makkhali Gosāla	name of an ascetic teacher; Makkhali Gosāla
75302	vikkhepakara	causing disturbance; making move to and fro	causing disturbance; making moves to and fro
75311	sabbarogamūlabandhana	root of bondage to all disease; source of attachement to every ill	source of attachment to every ill
75312	sabbasaṅgamūlabandhana	root of bondage to all attachment; source of attachemnt to all clinging	source of attachment to all clinging
75314	pariññacārī	wander with completely comprehension; going around fully understanding	wander with complete comprehension; going around fully understanding
75388	lakkhaṇamantapāragū	expert in birthmarks and mantras; master of auspicious signs and Vedic scriptues	expert in birthmarks and mantras; master of auspicious signs and Vedic scriptures
75397	asamadhura	of superior ability; of matchless responisbility	of superior ability; of matchless responsibility
75441	nāgāramāvasati	does not lives in a home	does not live in a home
75460	sakaṃsakaṃ	each their own; everyone their personal	each their own; everyone their own
75469	manasābhisitta	mentally annointed; self-crowned	mentally anointed; self-crowned
75514	bāvarī	name of a Brahman ascetic; teacher of the sixteen ascetic in Pārāyanavagga	name of a Brahman ascetic; teacher of the sixteen ascetics in Pārāyanavagga
75502	kodhātimāna	anger and arrogance; rage and pride	with mind inclined to Nibbāna; intent on extinguishing; wants to put out the fire
75554	ajita 9	name of an Brahman ascetic	name of a Brahman ascetic
75558	vītivatti	overcame; esacaped; passed through	overcame; escaped; passed through
75617	vimalagga	superbly stainless; totally spotless; completly unblemished	superbly stainless; totally spotless; completely unblemished
75654	nittejatā	impotence; spiritlessness; lusterlessness	impotence; spiritlessness; lustrelessness
75758	nivedayi	informed; told; made know	informed; told; made known
75793	paṇhika	related to the heal; ankle-	related to the heel; ankle-
75795	ajjhāvasati 3	governs; administrates; controls	governs; administers; controls
75844	gīva	witn a neck; having a (certain kind of) neck	with a neck; having a (certain kind of) neck
75884	sippika 2.1	bird; squirrrel; (or) monkey	bird; squirrel; (or) monkey
75908	aṭṭhamavagga	eigthth chapter; eigthth section	eighth chapter; eighth section
75909	susukhumanipuṇatthadassī	seeing the extemely refined and subtle truth; who perceives the exquisite and subtle goal	seeing the extremely refined and subtle truth; who perceives the exquisite and subtle goal
75910	susukhuma	extremly fine; very subtle; very refined	extremely fine; very subtle; very refined
75911	matikusala	skilled in thought; adpet in mind	skilled in thought; adept in mind
75964	odagya	elation; exulatation; rapture	elation; exultation; rapture
75976	bahukuṭajasallakika	with many medicinal trees; full of Wrightia antidysenterica and Frankincense tress	with many medicinal trees; full of Wrightia antidysenterica and Frankincense trees
76085	manasīkāra	attention; bringing-to-mind; observation; noticing; focussing	attention; bringing-to-mind; observation; noticing; focusing
76157	visiyati	is unbound; falls apart	visīyati
76171	yāthāvaka	perfectly true; how trul it is; (comm) without exception	perfectly true; how true it is; (comm) without exception
76481	hemantikasītakālaratti	freezing cold winter night; night in the cool part of winder	freezing cold winter night; night in the cool part of winter
76440	vacanaññū	understanding the words; comprehending the speech (of)	understanding the words; comprehending the speech
76426	kāmajāla	net of sensual desire; web of sensual pleasures	giving importance to the world of sense pleasures; preferred material things
76494	sunikkama	applying oneself well (to); practicing dilligently (in)	applying oneself well (to); practicing diligently (in)
76513	ñāṇadassanapatti	reaching total understanding; getting understanding and insight; attainement of knowledge and vision	reaching total understanding; getting understanding and insight; attainment of knowledge and vision
76530	vinamyati	is bent; is twsited (by)	is bent; is twisted (by)
76573	jhānasukhumasampanna	accomplished in delicate meditiation; succeeded in subtle states of deep meditative calm	accomplished in delicate meditation; succeeded in subtle states of deep meditative calm
76578	pattadaṇḍa	found guitly; condemned	found guilty; condemned
76665	sutavinicchī	investigating what is heard; discrimating what is learned	investigating what is heard; discriminating what is learned
76674	nacchera	not incredible; not marvelous; not amazing	not incredible; not marvellous; not amazing
76707	vinaddhamāna	intertwining; encircling; emmeshing	intertwining; encircling; meshing
76709	maṃsalepanalepita	smeared with meat; palstered with flesh	smeared with meat; plastered with flesh
76711	aṭṭhisaṅghātaghaṭita	joined by an accumualtion of bones; connected by a skeleton	joined by an accumulation of bones; connected by a skeleton
76764	unnataonata	raised or lowered; elavated or depressed; elated or downcast	raised or lowered; elevated or depressed; elated or downcast
76792	itthisota	woman's sensual charms; woman's allure; sight, sound, smell, taste and touch of woman	woman's sensual charms; woman's allure; sight, sound, smell, taste and touch of women
76807	saññuta	fastened together; bound; secured (with)	fastened together; bound; secured
76824	pavāhaka 2	carring away; removing	carrying away; removing
76831	saṃyojanavalāhaka	with fetters lika a thundercloud; with the bonds like a raincloud	with fetters like a thundercloud; with the bonds like a raincloud
76848	appappa	very short; extremly brief	very short; extremely brief
76865	pabodhana 2	waking up (with)	waking up
76888	sabbakārukasippa	all the artisan's crafts; all the craftman's skills	all the artisan's crafts; all the craftsman's skills
76921	mahāghora	very terrible; very aweful	very terrible; very awful
76923	nissukka	impure; without bright qualities; (comm) (or) without endevour	impure; without bright qualities; (comm) (or) without endeavour
76931	mattabhāṇī	speaing in moderation; who is measured in speech	speaking in moderation; who is measured in speech
76945	anuṭṭhahati	does nor get up; does not arouse oneself	does not get up; does not arouse oneself
76946	samaṇaphāsutā	comfort in asceticism; pleasntness in monasticism	comfort in asceticism; pleasantness in monasticism
76952	vārayi	prevented; blocked; hindrered	prevented; blocked; hindered
76978	thambhitatta	stifness; rigidity; inflexibility	stiffness; rigidity; inflexibility
76984	nekkhammaninna	incling towards renunciation; bent towards giving up sensual pleasure	inclining towards renunciation; bent towards giving up sensual pleasure
76985	tibhavābhinissaṭa	escaped form the three realms of existence; released from the three realms of being	escaped from the three realms of existence; released from the three realms of being
77020	duggandhakara	making a bad smell; malodourous	making a bad smell; malodorous
77021	sucikāma	fond of puirty; who likes cleanness	fond of purity; who likes cleanliness
77070	paralābha	gains of others; other's profit	gains of others; others' profit
77112	udāniya	related to an insparied saying; regarding an exclamation	related to an inspired saying; regarding an exclamation
77173	chedāpayitvāna	having had cut off	having been cut off
77177	rūpasamussaya	accumualtion of matter; pile of material; (comm) accumulation called form	accumulation of matter; pile of material; (comm) accumulation called form
77223	bahuvitta	very rich; having many possession; with lots of property	very rich; having many possessions; with lots of property
77231	vadhabandhapariklesa	hardhsip of beating and binding; pain of punishment and imprisonment	hardship of beating and binding; pain of punishment and imprisonment
77305	samavassari	reminded; made recollect	reminded; evoked recollection
77318	kulika 1	realted to a family; concerning a household	related to a family; concerning a household
77320	sabbagarahita	blamed by all; condemned by all; critizied by everyone	blamed by all; condemned by all; criticised by everyone
77409	pariniṭṭhita 2	(of food) prepared; finished being cooked	within the continent; (comm) on a small island
77420	antodīpa	?? within the continent; (comm) on a small island ??	within the continent; (comm) on a small island
77432	punarāvattayati	makes rereturn; causes to come back again	makes return; causes to come back again
77433	ādisitvāna	having dedicated (merit to)	having dedicated (merit)
77456	anagārūpanissaya	supports for the homeless wanderer; requites of a monk	supports for the homeless wanderer; requisites of a monk
77463	bhīmarūpa	terrible in appearance; dreadful in form; aweful in aspect	terrible in appearance; dreadful in form; awful in aspect
77465	amittajanana	creating enemies; breeding emnity	creating enemies; breeding enmity
77500	bhattikata	showing committment; demonstrating devotion	showing commitment; demonstrating devotion
77502	paribyatta	well experienced; very knowledgable; highly competent	well experienced; very knowledgeable; highly competent
77581	kāyakali	unfortunate body; wretched body	stricken; affected; overcome (with)
77589	āṇādhana	authority and wealth; power and riches	oozing smells; releasing odours; (or) with the smell of perspiration
77717	asita 2.2	(of teeth) loose; wobbly; nor firmly set; (comm) black	(of teeth) loose; wobbly; or firmly set; (comm) black
77785	dhuvato	as stable; as enduring; as eternal	nurturing another; sustaining someone else
77822	bhaddavaggiya	part of a fine group; belonging to a excellent party	part of a fine group; belonging to an excellent party
77838	āraññika 2	forest-; who lives in the forest	forest-dweller; who lives in the forest
77849	niṭṭhaṅgatatā	fact of having come to a conclusion; fact of having being sure; fact of not being in doubt (about)	fact of having come to a conclusion; fact of being sure; fact of not being in doubt (about)
77856	bhaddavaggiyasahāyaka	companion from a fine group; friend belonging to a excellent party	companion from a fine group; friend belonging to an excellent party
77880	mahatā atthena saṃyutto abhavissa	would have greaty benefited; would have profited enormously; (comm) would have attained the fruit of stream entry	would have greatly benefited; would have profited enormously; (comm) would have attained the fruit of stream entry
77926	tesametaṃ pāṭikaṅkhaṃ	they can be anticipated to	they can be anticipated
77954	saddhānusārī 2	who has attained the path of stream entry though faith	who has attained the path of stream entry through faith
77966	anukkama 3	(of a horse) walking in line; going in order; (comm) raising and lower all four legs at the same time	(of a horse) walking in line; going in order; (comm) raising and lowering all four legs at the same time
77975	sakuṇikā	famale bird	female bird
77986	tenahāyasmanto	in that case venerables; if that's so venerables	in that case, venerables; if that's so, venerables
77997	samita 3.1	continous; constant; (comm) endless	continuous; constant; (comm) endless
78072	puttamatā	woman who's son has died; mother of a deceased child	woman whose son has died; mother of a deceased child
78079	appāhāratā 2	fact of eating little food; fact fo taking little to eat	fact of eating little food; fact of taking little to eat
78090	sakula 1.2	beloging to a good family; born in a noble household	belonging to a good family; born in a noble household
78095	ettha mayaṃ anassāma	in that case we may be lost; in this regard we may be destoyed	in that case we may be lost; in this regard we may be destroyed
78113	paputtaka	grandson; descendent	grandson; descendant
78203	anucaṅkamati 1	walks along; strolls around (from to)	walks along; strolls around
78267	kaṇṇaka 2	?? rabbit	rabbit
78269	sakulā 2	name of a laywomen, sister of king Pasenadi's queen	name of a laywoman, sister of king Pasenadi's queen
78282	khandha 7	with a back; having shoulders	with teeth; having (a certain kind of) teeth; -toothed
78283	hanu 2	with a jaw; having a (certain kind of) jaw; -jawed	with a jaw; having (a certain kind of) jaw; -jawed
78304	kappeti 6	(of hair) trims; styles; fashions	due to sexual intercourse
78306	saṃvāsamanvāya 2	due to the sexual intercourse (of)	due to mating; as a result of breeding
78342	pīṇetuṃ 1	to fattening up; to strengthen; to bulk up	to fatten; to strengthen; to bulk up
78391	utu 6	fertile window; time around ovulation	causes to plunder
78403	paññāpayamāna 2	defining as; asserting to be; declaring as	non-separation; connection
78558	allīyāpeti	causes to stick; causes to cling; makes adhere; makes attache (to)	causes to stick; causes to cling; makes attach (to)
78770	dhammavidhi	prescribed method; formualtion of the Dhamma	prescribed method; formulation of the Dhamma
78772	vidhi 4	method; way precribed rule; formula	method; way prescribed rule; formula
78775	vipphāratā	fact of being widespread; fact of being boradly pervaded	fact of being widespread; fact of being broadly pervaded
78835	reṇu 4	name of one the seven Bharata kings	name of one of the seven Bharata kings
78852	mañcapaṭipādaka	support for a bed; beg leg	support for a bed; bed leg
78881	anuggahetabba	should be supported; should taken care of (by)	should be supported; should be taken care of (by)
78914	nirupārambha	without criticizm; with no condemnation; faultless	without criticism; with no condemnation; faultless
78964	ajjhottharitar	who overcomes; who overpowers; who masters; (comm) crusher	who overcomes; who overpowers; who masters (comm) crusher
79001	jeṭṭhāpacāyika	paying respect to one's elders; honouring one's seniors (in)	paying respect to one's elders; honouring one's seniors
79028	ramaṇīyatara	more beautiful; more delightful; more charming (than)	more beautiful; more delightful; more charming
79049	bālātapa	heat of the morning sun; early moning sunshine	heat of the morning sun; early morning sunshine
79080	aññatthāya	for another purpose; for somehting else	for another purpose; for something else
79086	abhiniviṭṭha 2	engrossed; deeply absored; intent	engrossed; deeply absorbed; intent
79094	abhiharanta 1	moving foward; progressing; continuing onwards	moving forward; progressing; continuing onwards
79117	milātasarīra	with an emaciated body (becuase of)	with an emaciated body (because of)
79120	kurudhamma	five cardinal virues	five cardinal virtues
79156	upasampannakāla	time when higher ordained	time when higher ordination takes place
79184	pitari 2	when father; at the time father	when father; at the time of father
79186	senāpatiṭṭhāna	poisiton of military general	position of military general
79212	odapattakinī	wife married with a ritual involving a bowl of water	wife married by a ritual involving a bowl of water
79295	lakkhyā	?? luck; good fortune ??	luck; good fortune
79299	hanāpeti	makes hit; causes to beat; makes kill	causes to hit; causes to beat; causes to kill
79300	vibādhāpeti	cause to oppress; makes harm	cause to oppress; causes harm
79314	uṭṭhāpana	making rise; resurrecting	raising; resurrecting
79316	dhovana 3	(comm) playing with the bones of dead relatives; (or) a kind fo magic	(comm) playing with the bones of dead relatives; (or) a kind of magic
79338	upaṭṭhāpetuṃ 2	to make nurse; to arrange (someone) to care for (someone else)	to cause to nurse; to arrange (someone) to care for (someone else)
79360	santasanta 2.1	?? very calm ??	very calm
79387	cittavāra 2	moment of conscious; thought moment	moment of consciousness; thought moment
79447	ūnadasavagga	consisting of a less than ten people	consisting of fewer than ten people
79483	atirekadasavassa	of more than ten years standing; ordained for more then ten years	of more than ten years standing; ordained for more than ten years
79488	antevāsikavatta 1	duty (of a teacher) towards a student; responsibility towards an pupil	duty (of a teacher) towards a student; responsibility towards a pupil
79628	aḍḍhacūḷa	?? half a small measure	half a small measure
79679	apaloketuṃ	to obtains permission (for); to give notice (about)	to obtain permission (for); to give notice (about)
79867	attānuvādabhaya 2	danger of self-criticizm; peril of self-reproach	danger of self-criticism; peril of self-reproach
79888	kambalamaddanamatta	with partial dying	with partial dyeing
79891	atirekapañcaka	five or more; at least five; in a group of more then five	in a group of more than five
79899	nāsanantika	concluding with the losing; ending with the destruction (of the robe-cloth)	concluding with the loss; ending with the destruction (of the robe-cloth)
79915	vippakatasamādāyapannarasaka	group of fifteen on 'taking away an unfinished'	group of fifteen on 'taking away unfinished'
79995	vaṇija	merchant; trader; business man	merchant; trader; businessman
80016	pañcābhiñña	possessing the five physic powers	possessing the five psychic powers
80067	avajānitabba	should be despised; should be disdained; should be looked down	should be despised; should be disdained; should be looked down on
80147	yiṭṭhuṃ 2	to offer alms; to make an donation	to offer alms; to make a donation
80290	nissajjāpeti	makes let go (of); makes give up; causes to abandon	causes to let go (of); makes (someone) give up; causes to abandon
80325	samannāharitabba	should be focused on; should be concentrated on; should be pays attention to	should be focused on; should be concentrated on; should pay attention to
80358	nābhijjhāyati	does not wish for; does not long for; does no covet	does not wish for; does not long for; does not covet
80603	paṭṭhapesi 1	set out; layed out; offered	set out; laid out; offered
80634	kumbha 2	frontal boss; temporal boss; protuberance on an elephant's head that become enlarged during musth	frontal boss; temporal boss; protuberance on an elephant's head that becomes enlarged during musth
80694	abyākata 2	(abhi) indeterminate as to wholesomeness or unwholesomeness; neither skilful nor unskilful; functional, resultant or materialty	(abhi) indeterminate as to wholesomeness or unwholesomeness; neither skilful nor unskilful; functional, resultant or materiality
80728	sabbapāṭhī	knowing all the scriptures (in)	knowing all the scriptures
80734	abhisambuddha 3	attained full awakening; got enlightened (at)	attained full awakening; got enlightened
80737	anatikkamanīya 2	inviolable (by)	inviolable
